Place of interest,Type of place,Place address,BiciPARK station,BiciPARK address,Distance from parking in mts
Colegio Mayor Chaminade,Instalaciones accesibles NO municipales,Paseo Juan Xxiii 9,Bicipark Almagro,"Calle Almagro, 11",3353.93
Cine La Vaguada,Instalaciones accesibles NO municipales,Avenida Monforte De Lemos 36,Bicipark Recuerdo,"Calle Hiedra, 26",3355.05
Oficina de Correos. Sucursal 42. Centro Comercial La Vaguada,Instalaciones accesibles NO municipales,Avenida Monforte De Lemos 36,Bicipark Recuerdo,"Calle Hiedra, 26",3355.05
Museo Arqueológico Nacional,Instalaciones accesibles NO municipales,Calle Serrano 13,Bicipark Orense,"Avenida General Perón, 27",3361.67
Instituto de Educación Secundaria (IES) Avenida de los Toreros,Instalaciones accesibles NO municipales,Avenida Toreros 57,Bicipark Montalban,"Calle de Montalbán, 5",3365.05
Oficina de Correos. Sucursal 36. Calle Orense,Instalaciones accesibles NO municipales,Calle Julias Besteiro  Esquina San Germán,Bicipark Salamanca,Pl. del Marqués de Salamanca,3368.35
Oficina de Correos. Sucursal 03. Calle Maudes,Instalaciones accesibles NO municipales,Calle Maudes 39,Bicipark Montalban,"Calle de Montalbán, 5",3370.34
Oficina Joven TIVE - Moncloa,Instalaciones accesibles NO municipales,Calle Fernando El Catolico 88,Bicipark Orense,"Avenida General Perón, 27",3373.49
Centro de Día Privado 'Reina Sofía',Instalaciones accesibles NO municipales,Calle Infanta Mercedes 26,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3374.4
Oficina de Correos. Sucursal 19. Calle Chile,Instalaciones accesibles NO municipales,Calle Chile 4,Bicipark Almagro,"Calle Almagro, 11",3374.43
Museo Tiflológico,Instalaciones accesibles NO municipales,Calle La Coruña 18,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3378.07
Colegio Público Tomás Bretón,Instalaciones accesibles NO municipales,Calle Alejandro Dumas 4,Bicipark Montalban,"Calle de Montalbán, 5",3382.28
Oficina de Correos. Sucursal 82. Avenida Santuario de Valverde,Instalaciones accesibles NO municipales,Avenida Santuario De Valverde 45,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",3382.49
Instituto de Educación Secundaria (IES) Moratalaz,Instalaciones accesibles NO municipales,Calle Corregidor Diego De Valderrabano 35,Bicipark Montalban,"Calle de Montalbán, 5",3384.22
Centro de rehabilitación INDANE,Instalaciones accesibles NO municipales,Calle Vallehermoso 100 Planta Baja,Bicipark Salamanca,Pl. del Marqués de Salamanca,3386.26
Sala de exposiciones Fundación MAPFRE Recoletos,Instalaciones accesibles NO municipales,Paseo Recoletos 23,Bicipark Orense,"Avenida General Perón, 27",3386.29
"Fundación Síndrome de Down, centro ocupacional Tres olivos",Instalaciones accesibles NO municipales,Calle Cueva De Montesinos 45,Bicipark Recuerdo,"Calle Hiedra, 26",3388.34
Casa de México,Instalaciones accesibles NO municipales,Calle Alberto Aguilera 20,Bicipark Salamanca,Pl. del Marqués de Salamanca,3388.64
Instituto de Educación Secundaria (IES) Avenida de los Toreros,Instalaciones accesibles NO municipales,Avenida Toreros 57,Bicipark Recoletos,"Paseo de Recoletos, 2",3393.63
Instituto de Educación Secundaria (IES) Príncipe Felipe,Instalaciones accesibles NO municipales,Calle Finisterre 60,Bicipark Orense,"Avenida General Perón, 27",3397.11
Colegio Público Tomás Bretón,Instalaciones accesibles NO municipales,Calle Alejandro Dumas 4,Bicipark Recoletos,"Paseo de Recoletos, 2",3398.66
Oficina de Empleo Usera,Instalaciones accesibles NO municipales,Calle Antonio Lopez 101,Bicipark Recoletos,"Paseo de Recoletos, 2",3398.83
Museo ABC,Instalaciones accesibles NO municipales,Calle Amaniel 29 -31,Bicipark Salamanca,Pl. del Marqués de Salamanca,3402.9
Complejo Deportivo Hockey Somontes de la Comunidad de Madrid,Instalaciones accesibles NO municipales,Carretera El Pardo 41,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",3402.99
Oficina de Correos. Sucursal 36. Calle Orense,Instalaciones accesibles NO municipales,Calle Julias Besteiro  Esquina San Germán,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3404.3
Sala El Águila,Instalaciones accesibles NO municipales,Calle Ramirez De Prado 3,Bicipark Almagro,"Calle Almagro, 11",3404.62
"Oficina de Correos. Sucursal 99. Calle Pegaso, 24",Instalaciones accesibles NO municipales,Calle Pegaso 24,Bicipark Recuerdo,"Calle Hiedra, 26",3410.67
Oficina de Empleo Nueva Numancia,Instalaciones accesibles NO municipales,Calle Francisco Iglesias 9,Bicipark Montalban,"Calle de Montalbán, 5",3411.61
Biblioteca Pública Elena Fortún (Retiro),Instalaciones accesibles NO municipales,Calle Doctor Esquerdo 189,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3413.8
Norte Joven Fuencarral,Instalaciones accesibles NO municipales,Calle Ribadavia 20,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",3421.73
Colegio Mayor Padre Poveda,Instalaciones accesibles NO municipales,Calle Isaac Peral 60,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3422.37
Movistar Academy Magariños,Instalaciones accesibles NO municipales,Calle Serrano 129,Bicipark Recuerdo,"Calle Hiedra, 26",3422.99
Oficina de Empleo Prosperidad,Instalaciones accesibles NO municipales,Calle Canillas 104,Bicipark Recuerdo,"Calle Hiedra, 26",3423.3
"Sala de exposiciones Fundación Canal (Mateo Inurria, 2)",Instalaciones accesibles NO municipales,Calle Mateo Inurria 2,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,3424.31
Colegio Mayor África,Instalaciones accesibles NO municipales,Calle Ramiro De Maeztu 2,Bicipark Almagro,"Calle Almagro, 11",3424.31
Museo de América,Instalaciones accesibles NO municipales,Avenida Reyes Catolicos 6,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3427.71
Colegio Mayor Fundación SEPI,Instalaciones accesibles NO municipales,Avenida Gregorio Del Amo 2,Bicipark Almagro,"Calle Almagro, 11",3430.54
Auditorio Nacional de Música,Instalaciones accesibles NO municipales,Calle Principe De Vergara 146,Bicipark Montalban,"Calle de Montalbán, 5",3431.69
Colegio Sagrado Corazón. Avenida Alfonso XIII.,Instalaciones accesibles NO municipales,Avenida Alfonso Xiii 127,Bicipark Salamanca,Pl. del Marqués de Salamanca,3431.87
Colegio Público Luis Bello,Instalaciones accesibles NO municipales,Calle Luis Cabrera 66,Bicipark Montalban,"Calle de Montalbán, 5",3431.98
Intercambiador de transporte. Moncloa,Instalaciones accesibles NO municipales,Calle Princesa 89,Bicipark Recoletos,"Paseo de Recoletos, 2",3431.98
Colegio Público Fernando el Católico,Instalaciones accesibles NO municipales,Calle Fernando El Catolico 16,Bicipark Salamanca,Pl. del Marqués de Salamanca,3435.81
Oficina de Correos. Sucursal 46. Calle Guzmán el Bueno,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 86,Bicipark Montalban,"Calle de Montalbán, 5",3436.38
Intercambiador de transporte. Plaza de Castilla,Instalaciones accesibles NO municipales,Paseo Castellana 195,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,3440.63
Centro de Día Privado 'Casa de las Flores',Instalaciones accesibles NO municipales,Calle Rodriguez San Pedro 72,Bicipark Orense,"Avenida General Perón, 27",3441.05
Biblioteca Pública Ruiz Egea (Chamberí),Instalaciones accesibles NO municipales,Calle Raimundo Fernandez Villaverde 6,Bicipark Montalban,"Calle de Montalbán, 5",3443.04
Oficina de Empleo Aluche,Instalaciones accesibles NO municipales,Calle Illescas 189,Bicipark Aviación,Parking Aviación Española,3448.09
Oficina de Tramitación del DNI y Pasaporte (Arganzuela),Instalaciones accesibles NO municipales,Paseo Virgen Del Puerto 47,Bicipark Recoletos,"Paseo de Recoletos, 2",3449.06
Parroquia Santos Inocentes,Instalaciones accesibles NO municipales,Calle Embajadores 209,Bicipark Montalban,"Calle de Montalbán, 5",3454.51
Oficina de Correos. Sucursal 39. Calle Arroyo de la Media Legua,Instalaciones accesibles NO municipales,Calle Arroyo De La Media Legua 56,Bicipark Salamanca,Pl. del Marqués de Salamanca,3457.46
"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación. Sede Palacio de Santa Cruz",Instalaciones accesibles NO municipales,Plaza Provincia 1,Bicipark Salamanca,Pl. del Marqués de Salamanca,3463.43
Biblioteca Pública del Estado Manuel Alvar  (Salamanca),Instalaciones accesibles NO municipales,Calle Azcona 42,Bicipark Orense,"Avenida General Perón, 27",3464.93
Sede QuedaT.com Chamartín,Instalaciones accesibles NO municipales,Pasaje Doña Carlota 13,Bicipark Orense,"Avenida General Perón, 27",3473.53
Administración Ciudad Lineal. AEAT,Instalaciones accesibles NO municipales,Calle Uruguay 16,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,3477.51
Oficina de Empleo Barrio del Pilar,Instalaciones accesibles NO municipales,Camino Ganapanes 33,Bicipark Orense,"Avenida General Perón, 27",3478.44
Oficina de Empleo Prosperidad,Instalaciones accesibles NO municipales,Calle Canillas 104,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3478.67
Instituto de Educación Secundaria (IES) Gregorio Marañón,Instalaciones accesibles NO municipales,Avenida El Ferrol 43,Bicipark Recuerdo,"Calle Hiedra, 26",3484.8
Colegio Mayor Santa María del Pino,Instalaciones accesibles NO municipales,Paseo San Francisco De Sales 13,Bicipark Recoletos,"Paseo de Recoletos, 2",3485.84
Colegio Público Méjico (México),Instalaciones accesibles NO municipales,Avenida Badajoz 74,Bicipark Salamanca,Pl. del Marqués de Salamanca,3487.07
Colegio Mayor Juan XXIII Roncalli,Instalaciones accesibles NO municipales,Calle Ramiro De Maeztu 3,Bicipark Almagro,"Calle Almagro, 11",3492.81
Centro de Día Privado 'DomusVi Maestranza',Instalaciones accesibles NO municipales,Calle Tellez 30 Planta Posterior - Local 16,Bicipark Almagro,"Calle Almagro, 11",3497.91
Oficina de Tramitación del DNI y Pasaporte San Felipe,Instalaciones accesibles NO municipales,Calle San Felipe 7,Bicipark Almagro,"Calle Almagro, 11",3499.51
Intercambiador de transporte. Moncloa,Instalaciones accesibles NO municipales,Calle Princesa 89,Bicipark Orense,"Avenida General Perón, 27",3506.31
Oficina de Correos. Sucursal 40. Calle Tellez,Instalaciones accesibles NO municipales,Calle Tellez 27,Bicipark Almagro,"Calle Almagro, 11",3510.59
Oficina Joven TIVE - Moncloa,Instalaciones accesibles NO municipales,Calle Fernando El Catolico 88,Bicipark Montalban,"Calle de Montalbán, 5",3517.87
Centro de Día Privado 'Sanivida Arganzuela',Instalaciones accesibles NO municipales,Calle Puerto De La Cruz Verde 14 Planta Bajo,Bicipark Montalban,"Calle de Montalbán, 5",3519.64
Colegio Santa María la Blanca,Instalaciones accesibles NO municipales,Calle Monasterio De Oseira 17,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",3521.25
Oficina de Tramitación del DNI y Pasaporte (Arganzuela),Instalaciones accesibles NO municipales,Paseo Virgen Del Puerto 47,Bicipark Montalban,"Calle de Montalbán, 5",3522.56
Centro de Día Privado 'Reina Sofía',Instalaciones accesibles NO municipales,Calle Infanta Mercedes 26,Bicipark Salamanca,Pl. del Marqués de Salamanca,3531.81
Oficina de Correos. Sucursal 52. Calle Monte Olivetti,Instalaciones accesibles NO municipales,Calle Monte Oliveti 29,Bicipark Montalban,"Calle de Montalbán, 5",3532.51
Sede QuedaT.com Centro,Instalaciones accesibles NO municipales,Calle Juanelo 2,Bicipark Salamanca,Pl. del Marqués de Salamanca,3532.93
Centro Concertado de Atención a las Adicciones (CCAD) Casa de Campo (Cruz Roja),Instalaciones accesibles NO municipales,Avenida Portugal,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3533.61
Museo de América,Instalaciones accesibles NO municipales,Avenida Reyes Catolicos 6,Bicipark Orense,"Avenida General Perón, 27",3539.49
Oficina de Correos. Sucursal 25. Calle Mariano Fernández,Instalaciones accesibles NO municipales,Calle Mariano Fernandez 1,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3541.93
Oficina de Correos. Sucursal 18. Calle Pizarro,Instalaciones accesibles NO municipales,Calle Pizarro 17,Bicipark Orense,"Avenida General Perón, 27",3548.63
Oficina de Correos. Sucursal 19. Calle Chile,Instalaciones accesibles NO municipales,Calle Chile 4,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,3553.71
La Casa Encendida de la Fundación Montemadrid,Instalaciones accesibles NO municipales,Ronda Valencia 2,Bicipark Salamanca,Pl. del Marqués de Salamanca,3553.84
Administración Sudeste. AEAT,Instalaciones accesibles NO municipales,Calle Camino De Los Vinateros 51,Bicipark Salamanca,Pl. del Marqués de Salamanca,3554.96
Oficina de Correos. Sucursal 01. Calle Villanueva,Instalaciones accesibles NO municipales,Calle Villanueva 30,Bicipark Orense,"Avenida General Perón, 27",3555.3
Administración Ciudad Lineal. AEAT,Instalaciones accesibles NO municipales,Calle Uruguay 16,Bicipark Almagro,"Calle Almagro, 11",3556.65
Oficina de Correos. Sucursal 53. Calle Conde de Peñalver,Instalaciones accesibles NO municipales,Calle Conde De Peñalver 19 Bis,Bicipark Orense,"Avenida General Perón, 27",3562.95
Oficina de Tramitación del DNI y Pasaporte (Arganzuela),Instalaciones accesibles NO municipales,Paseo Virgen Del Puerto 47,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3563.4
Oficina de Correos. Sucursal 15. Calle Jacinto Verdaguer,Instalaciones accesibles NO municipales,Calle Jacinto Verdaguer 4,Bicipark Montalban,"Calle de Montalbán, 5",3569.28
Centro Concertado de Atención a las Adicciones (CCAD) Casa de Campo (Cruz Roja),Instalaciones accesibles NO municipales,Avenida Portugal,Bicipark Recoletos,"Paseo de Recoletos, 2",3569.62
Colegio Público San Juan de la Cruz,Instalaciones accesibles NO municipales,Calle Honduras 10,Bicipark Almagro,"Calle Almagro, 11",3572.43
Oficina de Correos. Sucursal 66. Plaza Pablo Ruiz Picasso,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso 1,Bicipark Montalban,"Calle de Montalbán, 5",3577.99
Residencia para mayores y centro de día Peñuelas,Instalaciones accesibles NO municipales,Calle Arganda 11,Bicipark Almagro,"Calle Almagro, 11",3579.9
Palacio de Liria,Instalaciones accesibles NO municipales,Calle Princesa 20,Bicipark Orense,"Avenida General Perón, 27",3582.49
Oficina de Empleo Estrecho - Azca,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso  Edificio Serantes,Bicipark Montalban,"Calle de Montalbán, 5",3584.16
Delegación Especial de Madrid. AEAT,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 139,Bicipark Recoletos,"Paseo de Recoletos, 2",3593.95
Administración Guzmán el Bueno. AEAT,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 139,Bicipark Recoletos,"Paseo de Recoletos, 2",3593.95
Sala El Águila,Instalaciones accesibles NO municipales,Calle Ramirez De Prado 3,Bicipark Salamanca,Pl. del Marqués de Salamanca,3595.11
Escuela Infantil Betaria,Instalaciones accesibles NO municipales,Calle Padre Rubio 14,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,3601.54
Residencia Universitaria Augustinus Nebrija,Instalaciones accesibles NO municipales,Calle Cea Bermudez 59,Bicipark Montalban,"Calle de Montalbán, 5",3602.54
Parroquia San Ireneo,Instalaciones accesibles NO municipales,Calle Carlota O'Neill 26,Bicipark Salamanca,Pl. del Marqués de Salamanca,3608.49
Colegio Mayor Chaminade,Instalaciones accesibles NO municipales,Paseo Juan Xxiii 9,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3609.96
Colegio Mayor Alcor,Instalaciones accesibles NO municipales,Calle General Ampudia 7,Bicipark Recoletos,"Paseo de Recoletos, 2",3617.03
Centro de donación de sangre de Cruz Roja,Instalaciones accesibles NO municipales,Calle Juan Montalvo 3,Bicipark Recoletos,"Paseo de Recoletos, 2",3618.91
Colegio Patrocinio de San José,Instalaciones accesibles NO municipales,Calle Edgar Neville 24,Bicipark Montalban,"Calle de Montalbán, 5",3620.18
Instituto de Educación Secundaria (IES) Moratalaz,Instalaciones accesibles NO municipales,Calle Corregidor Diego De Valderrabano 35,Bicipark Recoletos,"Paseo de Recoletos, 2",3622.4
Instituto de Educación Secundaria (IES) Iturralde,Instalaciones accesibles NO municipales,Calle Nuestra Señora De La Luz 53,Bicipark Aviación,Parking Aviación Española,3624.21
Club Deportivo Somontes,Instalaciones accesibles NO municipales,Carretera El Pardo 43,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",3624.9
Palacio de Congresos de Madrid,Instalaciones accesibles NO municipales,Paseo Castellana 99,Bicipark Recoletos,"Paseo de Recoletos, 2",3625.79
Oficina de Correos. Sucursal 15. Calle Jacinto Verdaguer,Instalaciones accesibles NO municipales,Calle Jacinto Verdaguer 4,Bicipark Recoletos,"Paseo de Recoletos, 2",3628.95
Museo Los Caños del Peral. Estación de Metro Ópera,Instalaciones accesibles NO municipales,Plaza Isabel Ii 1,Bicipark Salamanca,Pl. del Marqués de Salamanca,3629.94
Museo Tiflológico,Instalaciones accesibles NO municipales,Calle La Coruña 18,Bicipark Salamanca,Pl. del Marqués de Salamanca,3632.17
Colegio Mayor Loyola,Instalaciones accesibles NO municipales,Paseo Juan Xxiii 17,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3637.44
Sala de exposiciones Fundación Canal (Castellana 214),Instalaciones accesibles NO municipales,Paseo Castellana 214,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,3649.33
Oficina de Empleo Sanchinarro,Instalaciones accesibles NO municipales,Avenida Ingeniero Emilio Herrera 23,Bicipark Recuerdo,"Calle Hiedra, 26",3655.56
"Fundación Síndrome de Down, centro ocupacional Tres olivos",Instalaciones accesibles NO municipales,Calle Cueva De Montesinos 45,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,3659.04
